wild_mut,H ALTS910101,H BENS940101,H BENS940102,H BENS940103,H BENS940104,H CSEM940101,H DAYM780301,H FEND850101,H FITW660101,H GEOD900101,H GONG920101,H GRAR740104,H HENS920101,H HENS920102,H HENS920103,H JOHM930101,H JOND920103,H JOND940101,H KOLA920101,H LEVJ860101,H LUTR910101,H LUTR910102,H LUTR910103,H LUTR910104,H LUTR910105,H LUTR910106,H LUTR910107,H LUTR910108,H LUTR910109,H MCLA710101,H MCLA720101,H MIYS930101,H MIYT790101,H MOHR870101,H NIEK910101,H NIEK910102,H OVEJ920101,H QU_C930101,H QU_C930102,H QU_C930103,H RISJ880101,H TUDE900101,H AZAE970101,H AZAE970102,H RIER950101,H WEIL970101,H WEIL970102,H MEHP950101,H MEHP950102,H MEHP950103,H KAPO950101,H VOGG950101,H BLAJ010101,H PRLA000101,H PRLA000102,H QUIB020101,H NAOD960101,H RUSR970101,H RUSR970102,H RUSR970103,H OGAK980101,H KANM000101,H NGPC000101,H MUET010101,H MUET020101,H MUET020102,H LINK010101,H DOSZ010102,H DOSZ010103,H DOSZ010104,H GIAG010101,H HENS920104,H DAYM780302,H DOSZ010101,H OVEJ920102,H OVEJ920103,H OVEJ920104,H OVEJ920105
CN,-5.0,-1.6,-1.9,-1.8,-1.5,-0.14,-4.0,2.0,2.0,8.0,-1.8,139.0,-2.0,-4.0,-5.0,-7.6,-1.0,-1.0,0.0,0.0,-7.0,-11.0,1.0,4.0,6.0,5.0,-9.0,1.0,-5.0,1.0,0.0,-0.46,2.83,9.0,0.04,0.04,-6.0,0.105,0.032,0.0,-1.6,-7.0,-4.0,-5.0,58.0,0.0,3.0,1.36,0.72,0.7,14.7,3.4,-13.0,-2.08,-6.53,-1.9,-5.0,-4.0,0.0,-1.0,-8.6,-30.0,-2.0,-2.5,-3.0,-1.0,0.007,-11.04,-2.4,-1.98,-0.2,-2.0,-9.0,-7.0,0.003,0.0,0.001,0.0
NC,-5.0,-1.6,-1.9,-1.8,-1.5,-0.14,-4.0,2.0,2.0,8.0,-1.8,139.0,-2.0,-4.0,-5.0,-7.6,-1.0,-1.0,0.0,0.0,-7.0,-11.0,1.0,4.0,6.0,5.0,-9.0,1.0,-5.0,1.0,0.0,-0.46,2.83,9.0,0.04,0.04,-6.0,0.105,0.032,0.0,-1.6,-7.0,-4.0,-5.0,58.0,0.0,3.0,1.36,0.72,0.7,14.7,3.4,-13.0,-2.08,-6.53,-1.9,-5.0,-4.0,0.0,-1.0,-8.6,-30.0,-2.0,-2.5,-3.0,-1.0,0.001,-9.21,-0.3,-2.83,0.2,-2.0,-9.0,23.5,0.007,0.0,0.007,0.0
CD,-7.0,-3.7,-3.7,-3.2,-1.6,-0.24,-5.0,1.0,2.0,5.0,-3.2,154.0,-3.0,-5.0,-7.0,-9.7,-3.0,-3.0,0.0,0.0,-13.0,-14.0,-1.0,-13.0,-26.0,0.0,-15.0,-4.0,-16.0,1.0,0.0,-0.41,3.48,8.0,-0.1,-0.1,-7.0,0.035,0.015,0.0,-1.7,-20.0,-8.0,-8.0,30.0,-2.0,1.0,1.44,0.67,0.6,14.0,2.0,-13.0,-2.51,-6.98,-3.1,-4.0,0.0,-1.0,0.0,-8.3,-30.0,-7.0,-7.5,-5.0,-3.0,0.006,-12.59,-4.9,-3.34,0.2,-4.0,-12.0,-7.4,0.0,0.0,0.001,0.0
DC,-7.0,-3.7,-3.7,-3.2,-1.6,-0.24,-5.0,1.0,2.0,5.0,-3.2,154.0,-3.0,-5.0,-7.0,-9.7,-3.0,-3.0,0.0,0.0,-13.0,-14.0,-1.0,-13.0,-26.0,0.0,-15.0,-4.0,-16.0,1.0,0.0,-0.41,3.48,8.0,-0.1,-0.1,-7.0,0.035,0.015,0.0,-1.7,-20.0,-8.0,-8.0,30.0,-2.0,1.0,1.44,0.67,0.6,14.0,2.0,-13.0,-2.51,-6.98,-3.1,-4.0,0.0,-1.0,0.0,-8.3,-30.0,-7.0,-7.5,-5.0,-3.0,0.0,-10.18,-2.3,-4.24,-0.2,-4.0,-12.0,22.2,0.0,0.0,0.007,0.0
CC,9.0,12.1,12.6,11.8,5.5,1.0,12.0,6.0,0.0,10.0,11.5,0.0,12.0,13.0,13.0,16.1,11.0,6.0,10.0,2.0,109.0,93.0,9.0,50.0,156.0,66.0,108.0,51.0,97.0,9.0,6.0,1.02,0.0,16.0,1.0,1.0,11.0,1.0,1.0,8.0,2.2,100.0,18.0,14.0,100.0,4.0,-5.0,1.04,1.07,0.71,31.9,16.7,39.0,6.99,19.05,11.5,14.0,12.0,13.0,12.0,-3.2,99.0,7.0,11.0,13.0,11.0,0.757,8.91,16.3,13.84,0.0,13.0,9.0,111.4,0.901,0.91,0.739,0.879
QA,-1.0,-1.7,-0.9,-0.3,-2.1,-0.01,0.0,3.0,2.0,9.0,-0.2,91.0,-1.0,-1.0,-2.0,-0.6,-1.0,-2.0,6.6,0.0,2.0,6.0,-1.0,2.0,-3.0,6.0,3.0,1.0,0.0,3.0,0.0,-0.16,1.92,11.0,0.32,0.36,0.0,0.261,0.55,2.0,1.8,0.0,0.0,1.0,64.0,0.0,1.0,1.31,0.68,0.92,17.2,5.0,1.0,-0.75,-2.16,-0.1,0.0,1.0,-1.0,0.0,-7.0,-3.0,-3.0,-4.0,-1.0,0.0,0.055,-4.22,3.5,-1.3,0.1,-1.0,-3.0,6.3,0.025,0.038,0.04,0.017
AQ,-1.0,-1.7,-0.9,-0.3,-2.1,-0.01,0.0,3.0,2.0,9.0,-0.2,91.0,-1.0,-1.0,-2.0,-0.6,-1.0,-2.0,6.6,0.0,2.0,6.0,-1.0,2.0,-3.0,6.0,3.0,1.0,0.0,3.0,0.0,-0.16,1.92,11.0,0.32,0.36,0.0,0.261,0.55,2.0,1.8,0.0,0.0,1.0,64.0,0.0,1.0,1.31,0.68,0.92,17.2,5.0,1.0,-0.75,-2.16,-0.1,0.0,1.0,-1.0,0.0,-7.0,-3.0,-3.0,-4.0,-1.0,0.0,0.029,-5.75,0.6,-1.75,-0.1,-1.0,-3.0,-7.4,0.09,0.05,0.073,0.053
QR,1.0,2.5,2.2,1.6,0.3,0.57,1.0,3.0,1.0,6.0,1.5,43.0,1.0,1.0,1.0,2.1,2.0,6.0,9.0,0.0,6.0,6.0,2.0,9.0,2.0,24.0,7.0,5.0,9.0,5.0,0.0,0.15,1.13,10.0,0.05,0.1,1.0,-0.084,0.243,0.0,2.0,26.0,16.0,12.0,49.0,0.0,-1.0,1.1,0.83,1.13,19.6,6.7,7.0,0.13,-0.74,2.0,5.0,-2.0,3.0,1.0,-7.5,12.0,-2.0,-2.5,2.0,2.0,0.061,-0.66,3.2,1.31,-2.0,1.0,-1.0,-4.8,0.029,0.118,0.056,0.122
RQ,1.0,2.5,2.2,1.6,0.3,0.57,1.0,3.0,1.0,6.0,1.5,43.0,1.0,1.0,1.0,2.1,2.0,6.0,9.0,0.0,6.0,6.0,2.0,9.0,2.0,24.0,7.0,5.0,9.0,5.0,0.0,0.15,1.13,10.0,0.05,0.1,1.0,-0.084,0.243,0.0,2.0,26.0,16.0,12.0,49.0,0.0,-1.0,1.1,0.83,1.13,19.6,6.7,7.0,0.13,-0.74,2.0,5.0,-2.0,3.0,1.0,-7.5,12.0,-2.0,-2.5,2.0,2.0,0.047,-0.76,2.9,1.22,2.0,1.0,-1.0,-6.5,0.028,0.055,0.047,0.04
QN,0.0,0.1,0.5,0.7,0.4,0.2,1.0,3.0,2.0,10.0,0.7,46.0,0.0,0.0,0.0,-0.8,0.0,3.0,0.0,1.0,3.0,6.0,2.0,4.0,1.0,18.0,4.0,5.0,7.0,4.0,2.0,0.2,0.99,11.0,-0.14,-0.16,0.0,0.082,0.222,1.0,1.6,12.0,13.0,10.0,96.0,1.0,1.0,1.2,0.71,1.13,18.6,5.9,1.0,0.33,1.42,1.9,5.0,2.0,2.0,3.0,-7.1,2.0,2.0,-1.0,0.0,1.0,0.031,0.14,0.8,-0.14,0.8,0.0,-3.0,-5.3,0.059,0.037,0.032,0.018
NQ,0.0,0.1,0.5,0.7,0.4,0.2,1.0,3.0,2.0,10.0,0.7,46.0,0.0,0.0,0.0,-0.8,0.0,3.0,0.0,1.0,3.0,6.0,2.0,4.0,1.0,18.0,4.0,5.0,7.0,4.0,2.0,0.2,0.99,11.0,-0.14,-0.16,0.0,0.082,0.222,1.0,1.6,12.0,13.0,10.0,96.0,1.0,1.0,1.2,0.71,1.13,18.6,5.9,1.0,0.33,1.42,1.9,5.0,2.0,2.0,3.0,-7.1,2.0,2.0,-1.0,0.0,1.0,0.034,-0.47,1.2,0.13,-0.8,0.0,-3.0,-7.2,0.066,0.016,0.04,0.005
QD,1.0,0.6,0.6,0.8,0.3,0.19,2.0,4.0,2.0,6.0,0.9,61.0,0.0,0.0,-1.0,-1.1,1.0,2.0,0.0,0.0,2.0,8.0,3.0,10.0,3.0,18.0,4.0,6.0,9.0,4.0,1.0,0.16,1.47,11.0,0.11,0.13,0.0,0.321,0.257,2.0,0.6,8.0,16.0,13.0,68.0,-1.0,-1.0,1.25,0.64,1.17,22.2,6.1,1.0,0.34,1.1,1.1,6.0,3.0,3.0,3.0,-7.3,2.0,0.0,-2.5,1.0,1.0,0.043,0.51,0.6,0.78,1.2,0.0,-2.0,-6.8,0.045,0.033,0.038,0.002
DQ,1.0,0.6,0.6,0.8,0.3,0.19,2.0,4.0,2.0,6.0,0.9,61.0,0.0,0.0,-1.0,-1.1,1.0,2.0,0.0,0.0,2.0,8.0,3.0,10.0,3.0,18.0,4.0,6.0,9.0,4.0,1.0,0.16,1.47,11.0,0.11,0.13,0.0,0.321,0.257,2.0,0.6,8.0,16.0,13.0,68.0,-1.0,-1.0,1.25,0.64,1.17,22.2,6.1,1.0,0.34,1.1,1.1,6.0,3.0,3.0,3.0,-7.3,2.0,0.0,-2.5,1.0,1.0,0.031,0.63,1.5,0.92,-1.2,0.0,-2.0,-6.5,0.089,0.02,0.052,0.011
QC,-7.0,-3.2,-3.3,-2.6,-3.1,-0.29,-5.0,1.0,2.0,8.0,-2.4,154.0,-3.0,-4.0,-5.0,-6.9,-3.0,-3.0,0.0,0.0,-10.0,-5.0,2.0,0.0,-29.0,7.0,-11.0,1.0,-11.0,0.0,0.0,-0.74,2.48,10.0,-0.16,-0.16,-3.0,0.191,0.418,3.0,-1.4,-8.0,-10.0,-9.0,62.0,0.0,3.0,1.49,0.65,0.51,13.8,2.8,-14.0,-0.83,-2.47,-2.5,-4.0,2.0,-6.0,-4.0,-8.3,-30.0,-5.0,-3.5,-4.0,-2.0,0.001,-9.5,0.0,-3.78,-0.1,-3.0,-12.0,24.0,0.011,0.014,0.013,0.009
CQ,-7.0,-3.2,-3.3,-2.6,-3.1,-0.29,-5.0,1.0,2.0,8.0,-2.4,154.0,-3.0,-4.0,-5.0,-6.9,-3.0,-3.0,0.0,0.0,-10.0,-5.0,2.0,0.0,-29.0,7.0,-11.0,1.0,-11.0,0.0,0.0,-0.74,2.48,10.0,-0.16,-0.16,-3.0,0.191,0.418,3.0,-1.4,-8.0,-10.0,-9.0,62.0,0.0,3.0,1.49,0.65,0.51,13.8,2.8,-14.0,-0.83,-2.47,-2.5,-4.0,2.0,-6.0,-4.0,-8.3,-30.0,-5.0,-3.5,-4.0,-2.0,0.007,-9.31,-2.4,-3.45,0.1,-3.0,-12.0,-6.3,0.006,0.008,0.005,0.0
QQ,6.0,5.3,4.2,3.0,5.5,1.0,4.0,6.0,0.0,10.0,2.7,0.0,6.0,8.0,9.0,9.0,5.0,11.0,10.0,2.0,16.0,7.0,13.0,6.0,30.0,42.0,14.0,11.0,31.0,8.0,5.0,0.48,0.0,16.0,1.0,1.0,6.0,1.0,1.0,8.0,2.2,100.0,21.0,17.0,100.0,4.0,-1.0,1.16,0.8,0.96,96.5,7.9,13.0,2.6,7.85,3.6,7.0,0.0,4.0,0.0,-6.5,46.0,9.0,7.0,6.0,3.0,0.395,-0.05,8.4,5.96,0.0,7.0,8.0,-6.0,0.183,0.414,0.231,0.56
EA,0.0,-0.7,-0.3,-0.1,1.3,0.08,0.0,4.0,1.0,5.0,0.0,107.0,-1.0,-1.0,-2.0,-0.7,-1.0,0.0,9.0,1.0,3.0,7.0,-2.0,4.0,-3.0,8.0,3.0,0.0,0.0,4.0,0.0,0.03,2.46,10.0,0.7,0.74,0.0,0.3,-0.116,0.0,1.7,12.0,2.0,1.0,39.0,-3.0,-2.0,1.34,0.63,0.96,18.1,5.2,0.0,-0.12,-0.47,1.2,0.0,2.0,0.0,1.0,-6.7,-10.0,-5.0,-7.0,-1.0,0.0,0.056,-4.66,3.0,-1.02,5.7,-1.0,-2.0,5.3,0.044,0.018,0.052,0.007
AE,0.0,-0.7,-0.3,-0.1,1.3,0.08,0.0,4.0,1.0,5.0,0.0,107.0,-1.0,-1.0,-2.0,-0.7,-1.0,0.0,9.0,1.0,3.0,7.0,-2.0,4.0,-3.0,8.0,3.0,0.0,0.0,4.0,0.0,0.03,2.46,10.0,0.7,0.74,0.0,0.3,-0.116,0.0,1.7,12.0,2.0,1.0,39.0,-3.0,-2.0,1.34,0.63,0.96,18.1,5.2,0.0,-0.12,-0.47,1.2,0.0,2.0,0.0,1.0,-6.7,-10.0,-5.0,-7.0,-1.0,0.0,0.045,-6.26,-1.0,-1.66,-5.7,-1.0,-2.0,-10.7,0.1,0.047,0.068,0.095
ER,-3.0,-0.4,-0.1,0.3,-2.0,0.34,-1.0,2.0,2.0,9.0,0.4,54.0,0.0,0.0,-1.0,-0.2,0.0,2.0,6.6,0.0,2.0,8.0,-1.0,12.0,-1.0,-1.0,3.0,4.0,2.0,3.0,0.0,-0.02,1.45,9.0,0.09,0.11,0.0,0.375,0.037,0.0,1.9,11.0,13.0,10.0,74.0,-1.0,-1.0,1.15,0.82,1.02,18.7,5.6,3.0,0.99,2.83,1.9,8.0,2.0,2.0,2.0,-7.5,3.0,-6.0,-9.0,-1.0,0.0,0.029,-0.6,2.2,0.98,-0.9,0.0,-8.0,-5.3,0.053,0.053,0.049,0.015
RE,-3.0,-0.4,-0.1,0.3,-2.0,0.34,-1.0,2.0,2.0,9.0,0.4,54.0,0.0,0.0,-1.0,-0.2,0.0,2.0,6.6,0.0,2.0,8.0,-1.0,12.0,-1.0,-1.0,3.0,4.0,2.0,3.0,0.0,-0.02,1.45,9.0,0.09,0.11,0.0,0.375,0.037,0.0,1.9,11.0,13.0,10.0,74.0,-1.0,-1.0,1.15,0.82,1.02,18.7,5.6,3.0,0.99,2.83,1.9,8.0,2.0,2.0,2.0,-7.5,3.0,-6.0,-9.0,-1.0,0.0,0.033,-1.47,1.0,1.1,0.9,0.0,-8.0,-10.0,0.023,0.042,0.031,0.058
EN,1.0,1.1,1.2,1.0,0.3,0.13,1.0,3.0,2.0,6.0,0.9,42.0,0.0,0.0,-1.0,-0.7,1.0,1.0,0.0,0.0,2.0,8.0,1.0,5.0,0.0,22.0,3.0,5.0,8.0,4.0,1.0,0.19,0.85,10.0,-0.24,-0.27,0.0,0.206,0.408,3.0,1.4,13.0,10.0,8.0,79.0,0.0,0.0,1.21,0.74,1.04,20.0,6.1,1.0,-0.16,-0.39,2.3,6.0,2.0,0.0,0.0,-6.5,3.0,0.0,-4.5,0.0,1.0,0.026,1.4,0.8,0.6,1.9,0.0,-1.0,-4.5,0.068,0.039,0.038,0.036
NE,1.0,1.1,1.2,1.0,0.3,0.13,1.0,3.0,2.0,6.0,0.9,42.0,0.0,0.0,-1.0,-0.7,1.0,1.0,0.0,0.0,2.0,8.0,1.0,5.0,0.0,22.0,3.0,5.0,8.0,4.0,1.0,0.19,0.85,10.0,-0.24,-0.27,0.0,0.206,0.408,3.0,1.4,13.0,10.0,8.0,79.0,0.0,0.0,1.21,0.74,1.04,20.0,6.1,1.0,-0.16,-0.39,2.3,6.0,2.0,0.0,0.0,-6.5,3.0,0.0,-4.5,0.0,1.0,0.046,0.31,0.6,1.27,-1.9,0.0,-1.0,-9.2,0.035,0.044,0.041,0.011
ED,3.0,4.4,3.9,2.9,3.8,0.37,3.0,5.0,1.0,10.0,2.7,45.0,2.0,2.0,2.0,2.4,4.0,8.0,0.0,1.0,6.0,12.0,6.0,20.0,10.0,29.0,8.0,10.0,17.0,5.0,2.0,0.32,0.9,11.0,0.07,0.09,2.0,0.137,0.851,4.0,1.0,34.0,15.0,10.0,94.0,0.0,-2.0,1.31,0.58,1.17,22.8,7.9,5.0,1.2,2.41,3.2,7.0,6.0,5.0,4.0,-6.4,20.0,6.0,2.0,3.0,3.0,0.091,4.09,2.4,3.37,2.7,2.0,3.0,-3.7,0.111,0.054,0.079,0.011
DE,3.0,4.4,3.9,2.9,3.8,0.37,3.0,5.0,1.0,10.0,2.7,45.0,2.0,2.0,2.0,2.4,4.0,8.0,0.0,1.0,6.0,12.0,6.0,20.0,10.0,29.0,8.0,10.0,17.0,5.0,2.0,0.32,0.9,11.0,0.07,0.09,2.0,0.137,0.851,4.0,1.0,34.0,15.0,10.0,94.0,0.0,-2.0,1.31,0.58,1.17,22.8,7.9,5.0,1.2,2.41,3.2,7.0,6.0,5.0,4.0,-6.4,20.0,6.0,2.0,3.0,3.0,0.102,3.96,2.7,3.93,-2.7,2.0,3.0,-6.0,0.109,0.059,0.091,0.042
EC,-7.0,-4.7,-4.3,-3.2,-3.0,-0.51,-5.0,0.0,3.0,5.0,-3.0,170.0,-3.0,-5.0,-7.0,-6.9,-4.0,-3.0,0.0,0.0,-12.0,-16.0,-3.0,-2.0,-30.0,-1.0,-15.0,-5.0,-21.0,0.0,0.0,-0.64,3.26,9.0,-0.34,-0.36,-3.0,0.341,-0.167,0.0,-1.5,-18.0,-8.0,-6.0,36.0,-2.0,2.0,1.43,0.69,0.57,12.2,2.2,-20.0,-1.97,-4.7,-2.4,-6.0,-8.0,-4.0,-8.0,-10.2,-39.0,-7.0,-7.0,-5.0,-3.0,0.0,-11.62,-0.6,-3.78,0.3,-3.0,-12.0,21.3,0.011,0.016,0.029,0.009
CE,-7.0,-4.7,-4.3,-3.2,-3.0,-0.51,-5.0,0.0,3.0,5.0,-3.0,170.0,-3.0,-5.0,-7.0,-6.9,-4.0,-3.0,0.0,0.0,-12.0,-16.0,-3.0,-2.0,-30.0,-1.0,-15.0,-5.0,-21.0,0.0,0.0,-0.64,3.26,9.0,-0.34,-0.36,-3.0,0.341,-0.167,0.0,-1.5,-18.0,-8.0,-6.0,36.0,-2.0,2.0,1.43,0.69,0.57,12.2,2.2,-20.0,-1.97,-4.7,-2.4,-6.0,-8.0,-4.0,-8.0,-10.2,-39.0,-7.0,-7.0,-5.0,-3.0,0.003,-10.67,-4.1,-3.46,-0.3,-3.0,-12.0,-12.2,0.0,0.016,0.006,0.0
EQ,2.0,2.1,1.7,1.7,2.0,0.51,2.0,4.0,1.0,6.0,1.7,29.0,2.0,3.0,3.0,2.4,2.0,7.0,6.6,1.0,5.0,9.0,3.0,7.0,6.0,15.0,6.0,7.0,11.0,5.0,3.0,0.25,0.84,11.0,0.39,0.42,2.0,0.228,0.254,2.0,2.1,37.0,17.0,13.0,74.0,0.0,-2.0,1.26,0.73,0.96,20.4,6.9,5.0,1.23,3.16,1.7,8.0,6.0,2.0,4.0,-6.8,19.0,1.0,-2.5,2.0,2.0,0.072,0.74,4.1,2.32,1.5,2.0,2.0,-5.8,0.086,0.056,0.071,0.064
QE,2.0,2.1,1.7,1.7,2.0,0.51,2.0,4.0,1.0,6.0,1.7,29.0,2.0,3.0,3.0,2.4,2.0,7.0,6.6,1.0,5.0,9.0,3.0,7.0,6.0,15.0,6.0,7.0,11.0,5.0,3.0,0.25,0.84,11.0,0.39,0.42,2.0,0.228,0.254,2.0,2.1,37.0,17.0,13.0,74.0,0.0,-2.0,1.26,0.73,0.96,20.4,6.9,5.0,1.23,3.16,1.7,8.0,6.0,2.0,4.0,-6.8,19.0,1.0,-2.5,2.0,2.0,0.121,0.5,3.3,2.62,-1.5,2.0,2.0,-8.3,0.039,0.068,0.06,0.101
EE,5.0,5.2,4.6,3.7,5.7,1.0,4.0,6.0,0.0,10.0,3.6,0.0,6.0,7.0,8.0,8.6,5.0,13.0,10.0,2.0,15.0,15.0,24.0,12.0,25.0,59.0,15.0,23.0,31.0,8.0,5.0,0.36,0.0,16.0,1.0,1.0,5.0,1.0,1.0,8.0,2.2,100.0,11.0,8.0,100.0,4.0,-1.0,1.19,0.74,1.01,26.5,8.8,12.0,2.97,8.43,3.7,11.0,-2.0,3.0,0.0,-5.4,40.0,12.0,7.0,6.0,4.0,0.474,3.35,7.0,6.97,0.0,6.0,7.0,-6.0,0.305,0.192,0.251,0.46
GA,1.0,0.8,0.8,0.6,1.2,0.11,1.0,5.0,1.0,9.0,0.5,60.0,0.0,0.0,0.0,-0.5,1.0,1.0,0.0,0.0,-5.0,5.0,1.0,5.0,9.0,14.0,-4.0,2.0,12.0,3.0,3.0,0.19,0.91,8.0,-0.4,-0.41,0.0,0.407,0.0,2.0,0.6,-3.0,5.0,1.0,96.0,-1.0,-1.0,1.11,0.83,1.11,19.9,5.7,1.0,0.27,0.63,1.4,0.0,1.0,1.0,0.0,-5.8,4.0,1.0,0.5,0.0,1.0,0.06,-2.72,2.0,-0.26,-1.8,0.0,-1.0,7.3,0.065,0.092,0.079,0.07
AG,1.0,0.8,0.8,0.6,1.2,0.11,1.0,5.0,1.0,9.0,0.5,60.0,0.0,0.0,0.0,-0.5,1.0,1.0,0.0,0.0,-5.0,5.0,1.0,5.0,9.0,14.0,-4.0,2.0,12.0,3.0,3.0,0.19,0.91,8.0,-0.4,-0.41,0.0,0.407,0.0,2.0,0.6,-3.0,5.0,1.0,96.0,-1.0,-1.0,1.11,0.83,1.11,19.9,5.7,1.0,0.27,0.63,1.4,0.0,1.0,1.0,0.0,-5.8,4.0,1.0,0.5,0.0,1.0,0.064,-4.0,0.9,-0.02,1.8,0.0,-1.0,-6.0,0.177,0.086,0.067,0.075
GR,-4.0,-0.1,-0.7,-1.0,0.8,-0.11,-3.0,3.0,1.0,5.0,-1.0,125.0,-2.0,-3.0,-4.0,-2.8,0.0,0.0,0.0,0.0,-7.0,-2.0,2.0,0.0,6.0,-8.0,-6.0,3.0,2.0,3.0,0.0,0.2,3.58,7.0,-0.18,-0.21,-2.0,0.394,0.0,2.0,0.1,-6.0,0.0,0.0,17.0,-1.0,1.0,0.99,0.84,1.41,16.1,4.2,-2.0,-0.96,-3.39,-0.2,0.0,2.0,0.0,1.0,-7.5,-18.0,-5.0,-5.5,-3.0,-1.0,0.023,-3.58,-2.2,-1.56,-0.8,-3.0,-8.0,-8.2,0.013,0.017,0.04,0.023
RG,-4.0,-0.1,-0.7,-1.0,0.8,-0.11,-3.0,3.0,1.0,5.0,-1.0,125.0,-2.0,-3.0,-4.0,-2.8,0.0,0.0,0.0,0.0,-7.0,-2.0,2.0,0.0,6.0,-8.0,-6.0,3.0,2.0,3.0,0.0,0.2,3.58,7.0,-0.18,-0.21,-2.0,0.394,0.0,2.0,0.1,-6.0,0.0,0.0,17.0,-1.0,1.0,0.99,0.84,1.41,16.1,4.2,-2.0,-0.96,-3.39,-0.2,0.0,2.0,0.0,1.0,-7.5,-18.0,-5.0,-5.5,-3.0,-1.0,0.022,-2.26,-1.9,-2.07,0.8,-3.0,-8.0,-8.3,0.008,0.01,0.017,0.004
GN,0.0,-0.1,0.4,0.4,-2.6,0.22,0.0,3.0,2.0,10.0,0.4,80.0,0.0,-1.0,-1.0,-1.4,0.0,-2.0,0.0,0.0,-4.0,5.0,4.0,7.0,-4.0,6.0,-2.0,6.0,0.0,3.0,0.0,-0.11,1.96,10.0,0.37,0.4,-1.0,0.293,0.0,2.0,0.2,10.0,8.0,7.0,64.0,0.0,0.0,0.96,0.71,1.8,18.1,5.6,1.0,0.79,1.16,0.7,5.0,3.0,1.0,2.0,-6.8,7.0,-1.0,-3.0,0.0,0.0,0.027,-1.07,-0.1,1.55,0.4,0.0,-2.0,-6.9,0.036,0.019,0.073,0.009
NG,0.0,-0.1,0.4,0.4,-2.6,0.22,0.0,3.0,2.0,10.0,0.4,80.0,0.0,-1.0,-1.0,-1.4,0.0,-2.0,0.0,0.0,-4.0,5.0,4.0,7.0,-4.0,6.0,-2.0,6.0,0.0,3.0,0.0,-0.11,1.96,10.0,0.37,0.4,-1.0,0.293,0.0,2.0,0.2,10.0,8.0,7.0,64.0,0.0,0.0,0.96,0.71,1.8,18.1,5.6,1.0,0.79,1.16,0.7,5.0,3.0,1.0,2.0,-6.8,7.0,-1.0,-3.0,0.0,0.0,0.051,-0.51,0.5,0.93,-0.4,0.0,-2.0,-7.6,0.026,0.018,0.044,0.007
GD,0.0,0.8,0.7,0.2,1.1,0.11,1.0,4.0,1.0,6.0,0.1,94.0,-1.0,-2.0,-3.0,-2.1,1.0,3.0,0.0,0.0,-7.0,6.0,2.0,0.0,3.0,-4.0,-5.0,4.0,1.0,3.0,0.0,0.15,2.37,9.0,0.08,0.08,-1.0,0.25,0.0,0.0,-0.4,8.0,7.0,8.0,36.0,-2.0,-1.0,1.02,0.61,1.88,18.7,5.3,2.0,-1.2,-3.91,0.9,4.0,3.0,1.0,2.0,-6.3,-10.0,-2.0,-4.5,-1.0,0.0,0.036,-0.67,-1.3,1.48,1.0,-1.0,-3.0,-8.4,0.07,0.021,0.066,0.016
DG,0.0,0.8,0.7,0.2,1.1,0.11,1.0,4.0,1.0,6.0,0.1,94.0,-1.0,-2.0,-3.0,-2.1,1.0,3.0,0.0,0.0,-7.0,6.0,2.0,0.0,3.0,-4.0,-5.0,4.0,1.0,3.0,0.0,0.15,2.37,9.0,0.08,0.08,-1.0,0.25,0.0,0.0,-0.4,8.0,7.0,8.0,36.0,-2.0,-1.0,1.02,0.61,1.88,18.7,5.3,2.0,-1.2,-3.91,0.9,4.0,3.0,1.0,2.0,-6.3,-10.0,-2.0,-4.5,-1.0,0.0,0.042,0.39,-0.4,0.59,-1.0,-1.0,-3.0,-7.1,0.041,0.011,0.041,0.008
GC,-5.0,-1.3,-1.7,-2.0,1.0,0.25,-3.0,3.0,1.0,8.0,-2.0,159.0,-3.0,-4.0,-6.0,-8.2,-1.0,-1.0,0.0,0.0,-15.0,-36.0,4.0,3.0,-33.0,-10.0,-21.0,4.0,-18.0,1.0,0.0,-0.18,2.22,8.0,0.12,0.13,-6.0,0.246,0.0,1.0,-1.7,-1.0,1.0,0.0,94.0,0.0,3.0,1.36,0.8,0.51,15.0,3.2,-15.0,-2.11,-5.7,-1.3,0.0,-1.0,-1.0,0.0,-7.5,-29.0,-2.0,-1.5,-2.0,-1.0,0.001,-2.34,-1.0,-2.34,0.3,-3.0,-8.0,30.7,0.0,0.0,0.0,0.0
CG,-5.0,-1.3,-1.7,-2.0,1.0,0.25,-3.0,3.0,1.0,8.0,-2.0,159.0,-3.0,-4.0,-6.0,-8.2,-1.0,-1.0,0.0,0.0,-15.0,-36.0,4.0,3.0,-33.0,-10.0,-21.0,4.0,-18.0,1.0,0.0,-0.18,2.22,8.0,0.12,0.13,-6.0,0.246,0.0,1.0,-1.7,-1.0,1.0,0.0,94.0,0.0,3.0,1.36,0.8,0.51,15.0,3.2,-15.0,-2.11,-5.7,-1.3,0.0,-1.0,-1.0,0.0,-7.5,-29.0,-2.0,-1.5,-2.0,-1.0,0.012,-8.6,-1.6,-1.2,-0.3,-3.0,-8.0,-3.0,0.0,0.0,0.0,0.0
